시군구,동반자유형,만족도,재방문의도,타인추천의도,성별,연령대,평점,법정동코드
제주특별자치도 서귀포시,비가족,5,5,4,여,70세 이상,5.666666666666667,50130
인천광역시 옹진군,비가족,5,4,4,남,30대,5.266666666666667,28720
경상북도 울릉군,비가족,5,3,3,여,60대,4.366666666666666,47940
전라북도 군산시,비가족,4,5,4,여,20대,5.333333333333333,45130
경기도 가평군,비가족,4,4,4,여,20대,4.933333333333334,41820
경기도 가평군,가족,4,4,4,남,60대,4.933333333333334,41820
강원특별자치도 고성군,가족,4,4,4,남,40대,4.933333333333334,42820
경기도 용인시,비가족,5,4,4,여,30대,5.266666666666667,41460
강원특별자치도 평창군,가족,5,4,4,남,40대,5.266666666666667,42760
강원특별자치도 강릉시,비가족,5,4,4,남,30대,5.266666666666667,42150
제주특별자치도 서귀포시,가족,5,4,4,남,50대,5.266666666666667,50130
강원특별자치도 춘천시,가족,4,4,4,여,40대,4.933333333333334,42110
경기도 양평군,가족,4,4,4,남,50대,4.933333333333334,41830
인천광역시 중구,비가족,4,4,4,남,30대,4.933333333333334,28110
제주특별자치도 제주시,가족,4,4,4,여,50대,4.933333333333334,50110
강원특별자치도 춘천시,비가족,4,4,4,여,50대,4.933333333333334,42110
강원특별자치도 춘천시,가족,4,4,4,남,70세 이상,4.933333333333334,42110
경기도 가평군,가족,3,4,4,여,50대,4.6000000000000005,41820
강원특별자치도 원주시,가족,4,4,3,여,60대,4.433333333333334,42130
경기도 양평군,가족,4,4,4,남,40대,4.933333333333334,41830
전라북도 순창군,가족,4,4,4,남,70세 이상,4.933333333333334,45770
강원특별자치도 동해시,비가족,4,4,4,남,20대,4.933333333333334,42170
강원특별자치도 속초시,가족,5,4,4,여,30대,5.266666666666667,42210
제주특별자치도 제주시,비가족,5,5,4,여,40대,5.666666666666667,50110
인천광역시 옹진군,비가족,5,4,4,남,20대,5.266666666666667,28720
강원특별자치도 횡성군,가족,4,5,4,남,40대,5.333333333333333,42730
강원특별자치도 철원군,가족,4,4,4,여,30대,4.933333333333334,42780
전라북도 군산시,비가족,4,5,4,여,40대,5.333333333333333,45130
경기도 양평군,비가족,4,4,4,여,40대,4.933333333333334,41830
강원특별자치도 속초시,가족,4,4,4,여,50대,4.933333333333334,42210
경기도 양평군,가족,4,4,4,여,15~19세,4.933333333333334,41830
경기도 용인시,비가족,4,3,4,남,20대,4.533333333333333,41460
세종특별자치시,가족,4,4,4,남,70세 이상,4.933333333333334,36110
전라북도 정읍시,가족,4,4,4,여,30대,4.933333333333334,45180
경기도 가평군,가족,4,4,4,여,70세 이상,4.933333333333334,41820
제주특별자치도 제주시,비가족,4,4,4,여,20대,4.933333333333334,50110
제주특별자치도 서귀포시,가족,4,4,4,여,20대,4.933333333333334,50130
충청북도 제천시,비가족,4,4,4,남,20대,4.933333333333334,43150
경기도 가평군,비가족,4,4,4,여,40대,4.933333333333334,41820
경기도 광주시,가족,4,4,3,남,30대,4.433333333333334,41610
강원특별자치도 속초시,가족,4,4,4,남,40대,4.933333333333334,42210
강원특별자치도 속초시,가족,4,4,4,여,50대,4.933333333333334,42210
경기도 양평군,비가족,4,4,4,여,20대,4.933333333333334,41830
인천광역시 강화군,가족,4,4,4,남,30대,4.933333333333334,28710
대전광역시 유성구,가족,4,4,4,남,70세 이상,4.933333333333334,30200
경기도 양평군,가족,4,4,4,여,70세 이상,4.933333333333334,41830
제주특별자치도 서귀포시,비가족,4,4,4,남,20대,4.933333333333334,50130
경기도 성남시,비가족,4,4,4,여,50대,4.933333333333334,41130
제주특별자치도 제주시,가족,4,4,4,여,30대,4.933333333333334,50110
강원특별자치도 속초시,비가족,4,4,4,남,20대,4.933333333333334,42210
충청북도 충주시,가족,4,4,4,남,30대,4.933333333333334,43130
인천광역시 강화군,가족,4,4,4,여,40대,4.933333333333334,28710
강원특별자치도 홍천군,가족,4,3,4,남,15~19세,4.533333333333333,42720
인천광역시 강화군,비가족,4,4,4,남,30대,4.933333333333334,28710
제주특별자치도 서귀포시,가족,4,4,3,여,30대,4.433333333333334,50130
제주특별자치도 제주시,비가족,4,4,4,여,40대,4.933333333333334,50110
강원특별자치도 강릉시,가족,4,4,4,남,40대,4.933333333333334,42150
인천광역시 중구,가족,4,4,4,여,40대,4.933333333333334,28110
강원특별자치도 횡성군,비가족,4,4,4,남,50대,4.933333333333334,42730
충청남도 태안군,비가족,4,4,4,여,30대,4.933333333333334,44825
강원특별자치도 삼척시,비가족,4,4,4,남,20대,4.933333333333334,42230
경기도 양평군,가족,4,4,4,여,30대,4.933333333333334,41830
충청남도 당진시,가족,4,4,4,남,60대,4.933333333333334,44270
충청북도 진천군,가족,4,4,4,여,40대,4.933333333333334,43750
제주특별자치도 서귀포시,비가족,4,4,3,남,20대,4.433333333333334,50130
